"Date","Team","Acquired","Relinquished","Notes","page_url"
"2010-01-04","Bucks","","• Roko-Leni Ukic / Roko Ukic","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-04","Warriors","","• Mikki Moore","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Hawks","","• Othello Hunter","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Heat","• 2010 second round pick (protected top 50) (not exercised)","• Chris Quinn• 2012 second round pick (#57-Ilkan Karaman)","trade with Nets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Jazz","• Sundiata Gaines","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Nets","","• Rafer Alston","waived / renounced rights (reached buyout agreement)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Nets","• Chris Quinn• 2012 second round pick (#57-Ilkan Karaman)","• 2010 second round pick (protected top 50) (not exercised)","trade with Heat","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Raptors","","• Pops Mensah-Bonsu","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Blazers","","• Shavlik Randolph","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Cavaliers","","• Coby Karl","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Celtics","","• Lester Hudson","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Rockets","","• Mike Harris","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-07","Heat","• Rafer Alston","","signed free agent for the remainder of the season","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-08","Blazers","• Shavlik Randolph","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-08","Grizzlies","• Lester Hudson","","claimed off waivers (from Celtics)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-10","Warriors","• Cartier Martin","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-11","Hornets","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","• Hilton Armstrong• cash","trade with Kings","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-11","Kings","• Hilton Armstrong• cash","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","trade with Hornets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-11","Mavericks","• Eduardo Najera","• Kris Humphries• Shawne Williams","trade with Nets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-11","Nets","","• Sean Williams","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-11","Nets","• Kris Humphries• Shawne Williams","• Eduardo Najera","trade with Mavericks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-12","Hawks","• Mario West","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-15","Jazz","• Sundiata Gaines","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-15","Nets","","• Shawne Williams","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-17","Blazers","","• Shavlik Randolph","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-17","Warriors","• Anthony Tolliver","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-18","Bucks","• Jerry Stackhouse","","signed free agent for the remainder of the season","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-18","Nets","• Jim Sann / Jimmy Sann","","hired as assistant coach","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-18","Nets","• Tom Barrise","","reassigned to special assistant to the team president","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-19","Rockets","• Rick Adelman","","team exercised contract option on head coach for 2010-11","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-20","Warriors","• Cartier Martin","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-22","Clippers","","• Kareem Rush","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-22","Clippers","• JamesOn Curry","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-22","Hawks","• Mario West","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-22","Spurs","","• Marcus Haislip","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-23","Cavaliers","• Cedric Jackson","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-25","Jazz","• Sundiata Gaines","","re-signed for the remainder of the season / re-signed to a multi-year contract (R)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-25","Bulls","• Devin Brown","• Aaron Gray","trade with Hornets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-25","Hornets","• Aaron Gray","• Devin Brown","trade with Bulls","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-26","Clippers","","• JamesOn Curry","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-26","Clippers","• Bobby Brown","• 2014 second round pick (top 55 protected in 2014, else extinguished) (#58-Jordan McRae)","trade with Hornets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-26","Hornets","• 2014 second round pick (top 55 protected in 2014, else extinguished) (#58-Jordan McRae)","• Bobby Brown","trade with Clippers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-27","Warriors","• Anthony Tolliver","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-28","Rockets","• Will Conroy","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-31","Warriors","","• Cartier Martin","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-01-31","Warriors","• Coby Karl","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-02-01","Hawks","• Mario West","","re-signed for the remainder of the season","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-02-02","Cavaliers","• Cedric Jackson","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-02-02","Nets","","• Del Harris","resigned as assistant coach","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-02-04","Clippers","","• Mike Dunleavy Sr.","resigned as head coach (remained as GM)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=25"
"2010-02-04","Clippers","• Kim Hughes","","promoted to interim head coach","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-05","Bulls","• Chris Richard","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-05","Hornets","• Jason Hart","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-06","Warriors","","• Craig Claxton / Speedy Claxton","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-06","Warriors","• Anthony Tolliver","","re-signed for the remainder of the season","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-08","Rockets","","• Will Conroy","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-08","Rockets","• Garrett Temple","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-09","Warriors","","• Coby Karl","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-12","Nuggets","• George Karl","","re-signed as head coach to a 1-year contract extension through 2010-11","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-13","Mavericks","• Caron Butler• Brendan Haywood• DeShawn Stevenson• cash","• Josh Howard• Drew Gooden• James Singleton• Quinton Ross","trade with Wizards","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-13","Wizards","• Josh Howard• Drew Gooden• James Singleton• Quinton Ross","• Caron Butler• Brendan Haywood• DeShawn Stevenson• cash","trade with Mavericks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-15","Bulls","• Chris Richard","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-16","Blazers","• Marcus Camby","• Travis Outlaw• Steve Blake","trade with Clippers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-16","Clippers","","• Ricky Davis","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-16","Clippers","• Travis Outlaw• Steve Blake","• Marcus Camby","trade with Blazers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Cavaliers","• Antawn Jamison• Sebastian Telfair","• Zydrunas Ilgauskas• rights to Emir Preldzic• 2010 first round pick (#30-Lazar Hayward)","3-team trade with Clippers, Wizards","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Clippers","• Drew Gooden","• Sebastian Telfair• Al Thornton","3-team trade with Cavaliers, Wizards","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Hornets","","• Jason Hart","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Pistons","","• Thomas Wilson / Tom Wilson","resigned as president & CEO","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Pistons","• Alan Ostfield","","promoted to president & CEO","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Wizards","• Zydrunas Ilgauskas• Al Thornton• rights to Emir Preldzic• 2010 first round pick (from Cavaliers) (#30-Lazar Hayward)","• Antawn Jamison• Drew Gooden","3-team trade with Cavaliers, Clippers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Knicks","• Brian Cardinal","• Darko Milicic• cash","trade with Timberwolves","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-17","Timberwolves","• Darko Milicic• cash","• Brian Cardinal","trade with Knicks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-18","76ers","• Francisco Elson• Jodie Meeks","• Primoz Brezec• Royal Ivey• 2010 second round pick (#37-Darington Hobson)","trade with Bucks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-18","Bobcats","• Theo Ratliff","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","trade with Spurs","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=50"
"2010-02-18","Bobcats","• Tyrus Thomas","• Ronald Murray / Flip Murray• Acie Law• first round pick (protected top 14 in 2012, top 12 in 2013, top 10 in 2014, top 8 in 2015, unprotected in 2016) (2014 #16-Jusuf Nurkic)","trade with Bulls","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Bucks","• John Salmons• Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b))• 2011 second round pick (#60-Isaiah Thomas)• 2012 second round pick (#60-Robert Sacre)","• Hakim Warrick• Joe Alexander• Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)","trade with Bulls","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Bucks","• Primoz Brezec• Royal Ivey• 2010 second round pick (#37-Darington Hobson)","• Francisco Elson• Jodie Meeks","trade with 76ers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Bulls","","• Chris Richard","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Bulls","• Hakim Warrick• Joe Alexander• Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin)","• John Salmons• Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b))• 2011 second round pick (#60-Isaiah Thomas)• 2012 second round pick (#60-Robert Sacre)","trade with Bucks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Bulls","• Ronald Murray / Flip Murray• Acie Law• first round pick (protected top 14 in 2012, top 12 in 2013, top 10 in 2014, top 8 in 2015, unprotected in 2016) (2014 #16-Jusuf Nurkic)","• Tyrus Thomas","trade with Bobcats","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Cavaliers","","• Cedric Jackson","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Celtics","• Nate Robinson• Marcus Landry","• Eddie House• J.R. Giddens• Bill Walker• 2014 second round pick (protected top 55 in 2014, else extinguished) (?-?)","trade with Knicks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Grizzlies","• Ronnie Brewer","• first round pick (protected top 14 in 2011, top 12 in 2012, top 10 in 2013, top 9 in 2014-15, cash thereafter) (2011 #20-Donatas Motiejunas)","trade with Jazz","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Jazz","• first round pick (protected top 14 in 2011, top 12 in 2012, top 10 in 2013, top 9 in 2014-15, cash thereafter) (2011 #20-Donatas Motiejunas)","• Ronnie Brewer","trade with Grizzlies","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Kings","","• Kenny Thomas","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Kings","• Carl Landry• Joey Dorsey• Larry Hughes• cash","• Kevin Martin• Hilton Armstrong• Sergio Rodriguez","3-team trade with Knicks, Rockets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Kings","• Dominic McGuire• cash","• 2010 second round pick (top 41 protected in 2010) (not exercised)","trade with Wizards","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Knicks","• Eddie House• J.R. Giddens• Bill Walker• 2014 second round pick (protected top 55 in 2014, else extinguished) (?-?)","• Nate Robinson• Marcus Landry","trade with Celtics","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Knicks","• Tracy McGrady• Sergio Rodriguez• Rockets option to swap 2011 first round picks with Knicks (protected top 1) (not exercised)","• Kevin Martin• Hilton Armstrong• Jordan Hill• Jared Jeffries• Rockets option to swap 2011 first round picks with Knicks (top 1 protected) (not exercised)• first round pick (from Knicks, protected top 5 in 2012-15, else 2015 and 2016 second round picks) (2012 #16-Royce White)","3-team trade with Kings, Rockets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Rockets","","• Garrett Temple","contract expired","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Rockets","• Kevin Martin• Hilton Armstrong• Jordan Hill• Jared Jeffries• Rockets option to swap 2011 first round picks with Knicks (top 1 protected) (not exercised)• first round pick (from Knicks, protected top 5 in 2012-15, else 2015 and 2016 second round picks) (2012 #16-Royce White)","• Tracy McGrady• Carl Landry• Joey Dorsey• Rockets option to swap 2011 first round picks with Knicks (protected top 1) (not exercised)• cash","3-team trade with Kings, Knicks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Spurs","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","• Theo Ratliff","trade with Bobcats","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Wizards","• 2010 second round pick (top 41 protected in 2010) (not exercised)","• Dominic McGuire• cash","trade with Kings","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-18","Knicks","","• Brian Cardinal","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-20","Rockets","","• Brian Cook","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-20","Rockets","• Garrett Temple","","re-signed to a second 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-22","Thunder","","• Matt Harpring","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-22","Thunder","• Antonio Anderson","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
"2010-02-23","Kings","","• Larry Hughes","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search&start=75"
